GROUP ID,COMPANY,BANK,NO. OF ACCOUNTS,TOTAL PROVISION,APPROVED BY,ACCOUNTS STATUS,STATUS INFO
202602_FD_LKR_SAMPATH,Lion Brewery Sri Lanka,Sampath Bank (SAMPATH),1,"29,157,534.25",-,-,-
202602_FD_LKR_COMB,Lion Brewery Sri Lanka,Commercial Bank (COMB),3,"877,402,739.73",-,-,-
202602_FD_LKR_DFCC,Lion Brewery Sri Lanka,DFCC Bank (DFCC),3,"119,928,767.12",-,-,-
202602_FD_LKR_NDB,Lion Brewery Sri Lanka,NDB Bank (NDB),1,"35,726,027.40",-,-,-
202602_LTL_LKR_COMB,Lion Brewery Sri Lanka,Commercial Bank (COMB),3,"2,087,013.70",-,-,-
202602_LTL_LKR_BOCC,Lion Brewery Sri Lanka,Bank of China (BOCC),1,"424,246.58",-,-,-
202602_FD_LKR_HNB,Lion Brewery Sri Lanka,Hatton National Bank (HNB),2,"34,109,589.04",-,-,-
202602_STL_LKR_BOCC,Lion Brewery Sri Lanka,Bank of China (BOCC),1,"22,904.11",-,-,-
